"","ids","name","followers","tracks","date","collab","description","owner","public"
"1","37i9dQZF1DXcBWIGoYBM5M","Today's Top Hits",27683498,50,2021-05-03,FALSE,"Billie Eilish is on top of the Hottest 50!","spotify",TRUE
"2","37i9dQZF1DX0XUsuxWHRQd","RapCaviar",13786604,50,2021-05-03,FALSE,"New music from Lil Baby, NLE Choppa and DJ Khaled.","spotify",TRUE
"3","37i9dQZF1DXcF6B6QPhFDv","Rock This",4517995,50,2021-05-03,FALSE,"The newest music from Royal Blood, along with the top Rock songs you need to know.","spotify",TRUE
"4","37i9dQZF1DX4dyzvuaRJ0n","mint",5607261,88,2021-05-03,FALSE,"The world's biggest dance hits. Featuring our music from Majestic, ZHU and more!","spotify",TRUE
"5","37i9dQZF1DX1lVhptIYRda","Hot Country",6323822,52,2021-05-03,FALSE,"Today's top country hits of the week, worldwide! Cover: Thomas Rhett","spotify",TRUE
"6","37i9dQZF1DX10zKzsJ2jva","¡Viva Latino!",10890223,50,2021-05-03,FALSE,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Christian Nodal, Gera MX","spotify",TRUE
"7","37i9dQZF1DX4SBhb3fqCJd","Are & Be",5596382,50,2021-05-03,FALSE,"The pulse of R&B music today.  Cover: SZA","spotify",TRUE
"8","37i9dQZEVXbLRQDuF5jeBp","Top 50 - USA",3345310,50,2021-05-03,FALSE,"Your daily update of the most played tracks right now - USA.","spotifycharts",FALSE
"9","37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global",16060931,50,2021-05-03,FALSE,"Your daily update of the most played tracks right now - Global.","spotifycharts",FALSE
"10","37i9dQZEVXbLiRSasKsNU9","Viral 50 - Global",1720592,50,2021-05-03,FALSE,"Your daily update of the most viral tracks right now - Global.","spotifycharts",FALSE
"11","37i9dQZEVXbKuaTI1Z1Afx","Viral 50 - USA",349575,50,2021-05-03,FALSE,"Your daily update of the most viral tracks right now - USA.","spotifycharts",FALSE
"12","37i9dQZF1DX4JAvHpjipBk","New Music Friday",3749789,100,2021-05-03,FALSE,"New music from Billie Eilish, DJ Khaled,  Machine Gun Kelly, and more!  ","spotify",TRUE
"13","37i9dQZF1DX6GwdWRQMQpq","Feelin' Myself",1431232,50,2021-05-03,FALSE,"When you feel like you're 100% that b****. Cover: Iamdoechii","spotify",FALSE
"14","37i9dQZF1DX2RxBh64BHjQ","Most Necessary",2483388,100,2021-05-03,FALSE,"The official voice of generation next. Cover: EST Gee","spotify",TRUE
"15","37i9dQZF1DWY4xHQp97fN6","Get Turnt",5986690,100,2021-05-03,FALSE,"Mode: Turnt","spotify",TRUE
"16","37i9dQZF1DX9oh43oAzkyx","Beast Mode Hip-Hop",499187,76,2021-05-03,FALSE,"Energy tracks to get your beast mode on.","spotify",FALSE
"17","37i9dQZF1DX186v583rmzp","I Love My '90s Hip-Hop",5717711,100,2021-05-03,FALSE,"Real rap music from the golden era.","spotify",FALSE
"18","37i9dQZF1DWT5MrZnPU1zD","Hip Hop Controller",1464296,100,2021-05-03,FALSE,"Pass the sticks & press play.","spotify",TRUE
"19","37i9dQZF1DX8dTWjpijlub","Trophy Room",91649,50,2021-05-03,FALSE,"The champs are here.","spotify",FALSE
"20","37i9dQZF1DX0Tkc6ltcBfU","No Cap",916877,50,2021-05-03,FALSE,"Keeping it real for the dirty south. Cover: Young Thug & Gunna
","spotify",TRUE
