ID,name
toplists,Top Lists
hiphop,Hip Hop
pop,Pop
country,Country
rock,Rock
latin,Latin
mood,Mood
rnb,R&B
indie_alt,Indie
edm_dance,Dance/Electronic
workout,Workout
focus,Focus
chill,Chill
inspirational,Christian
sleep,Sleep
decades,Decades
party,Party
gaming,Gaming
romance,Romance
instrumental,Instrumental
alternative,Alternative
wellness,Wellness
in_the_car,In the car
equal,EQUAL
shows_with_music,theLINER
pride,Pride
classical,Classical
jazz,Jazz
roots,Folk & Acoustic
soul,Soul
blackhistorymonth,Black History Is Now
sessions,Spotify Singles
at_home,At Home
dinner,Cooking & Dining
kpop,K-Pop
punk,Punk
regional_mexican,Regional Mexican
sports,Sports
popculture,Pop culture
blues,Blues
arab,Arab
desi,Desi
radar,RADAR
jre_podcast,Joe Rogan Experience
anime,Anime
thirdparty,Tastemakers
afro,Afro
comedy,Comedy
metal,Metal
caribbean,Caribbean
funk,Funk
student,Student
travel,Commute
kids_family,Kids & Family
