"lift","run"
1,21
2,31
2,20
2,32
2,16
2,15
2,1
2,26
2,14
3,29
3,25
3,31
3,24
3,12
3,20
3,23
3,13
3,19
3,30
3,32
3,28
3,17
3,18
3,27
3,26
3,3
3,22
3,11
4,6
4,4
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,17
4,18
4,19
4,25
4,20
4,22
5,13
5,3
5,19
5,25
5,23
5,32
5,30
5,12
5,22
5,20
5,31
5,24
5,17
5,11
5,18
5,28
5,29
6,25
6,19
6,20
7,18
7,12
7,19
7,11
7,20
7,17
7,25
7,13
7,22
8,27
8,16
8,15
8,28
8,14
8,13
8,29
8,12
8,30
8,11
8,31
8,3
8,2
8,1
8,22
8,32
8,23
8,20
8,24
8,19
8,18
8,25
8,17
8,26
