"lift","vertical","seats","run","level"
"aerial tram",2900,125,"chip's run",2
"peruvian",2572,4,"chip's run",2
"aerial tram",2900,125,"upper primrose",3
"little cloud",1304,4,"old ladies",4
"mineral basin",1429,4,"old ladies",4
"aerial tram",2900,125,"old ladies",4
"gad 2",1242,4,"tiger tail",3
"gad 2",1242,4,"carbonate",3
"gad 2",1242,4,"gadzooks",3
"gad 2",1242,4,"s.t.h.",3
"gad 2",1242,4,"election",2
"gad 2",1242,4,"upper bassackwards",2
"aerial tram",2900,125,"middle bassackwards",2
"gadzoom",1827,6,"middle bassackwards",2
"little cloud",1304,4,"middle bassackwards",2
"mineral basin",1429,4,"middle bassackwards",2
"gad 2",1242,4,"middle bassackwards",2
"aerial tram",2900,125,"upper big emma",2
"gadzoom",1827,6,"upper big emma",2
"little cloud",1304,4,"upper big emma",2
"mineral basin",1429,4,"upper big emma",2
"gad 2",1242,4,"upper big emma",2
"aerial tram",2900,125,"fluffy bunny",3
"gadzoom",1827,6,"fluffy bunny",3
"little cloud",1304,4,"fluffy bunny",3
"mineral basin",1429,4,"fluffy bunny",3
"gad 2",1242,4,"fluffy bunny",3
"aerial tram",2900,125,"silver fox",3
"peruvian",2572,4,"silver fox",3
"aerial tram",2900,125,"lower primrose",3
"peruvian",2572,4,"lower primrose",3
"aerial tram",2900,125,"rothman's way",2
"peruvian",2572,4,"rothman's way",2
"aerial tram",2900,125,"jones avenue",4
"gadzoom",1827,6,"jones avenue",4
"little cloud",1304,4,"jones avenue",4
"gad 2",1242,4,"jones avenue",4
"mineral basin",1429,4,"jones avenue",4
"aerial tram",2900,125,"gad gully",3
"gadzoom",1827,6,"gad gully",3
"little cloud",1304,4,"gad gully",3
"gad 2",1242,4,"gad gully",3
"mineral basin",1429,4,"gad gully",3
"wilbere",668,2,"harper's ferry",3
"aerial tram",2900,125,"harper's ferry",3
"gadzoom",1827,6,"harper's ferry",3
"little cloud",1304,4,"harper's ferry",3
"gad 2",1242,4,"harper's ferry",3
"mineral basin",1429,4,"harper's ferry",3
"wilbere",668,2,"bass highway",1
"aerial tram",2900,125,"bass highway",1
"gadzoom",1827,6,"bass highway",1
"little cloud",1304,4,"bass highway",1
"gad 2",1242,4,"bass highway",1
"mineral basin",1429,4,"bass highway",1
"peruvian",2572,4,"bass highway",1
"chickadee",149,2,"chickadee",1
"aerial tram",2900,125,"lower/middle emma",1
"gadzoom",1827,6,"lower/middle emma",1
"little cloud",1304,4,"lower/middle emma",1
"gad 2",1242,4,"lower/middle emma",1
"mineral basin",1429,4,"lower/middle emma",1
"aerial tram",2900,125,"regulator johnson",3
"little cloud",1304,4,"regulator johnson",3
"mineral basin",1429,4,"regulator johnson",3
"aerial tram",2900,125,"pucker brush",3
"little cloud",1304,4,"pucker brush",3
"mineral basin",1429,4,"pucker brush",3
"aerial tram",2900,125,"wilbere ridge",2
"gadzoom",1827,6,"wilbere ridge",2
"wilbere",668,2,"wilbere ridge",2
"little cloud",1304,4,"wilbere ridge",2
"gad 2",1242,4,"wilbere ridge",2
"mineral basin",1429,4,"wilbere ridge",2
"aerial tram",2900,125,"double down",3
"mineral basin",1429,4,"double down",3
"peruvian",2572,4,"double down",3
"aerial tram",2900,125,"high stakes",3
"mineral basin",1429,4,"high stakes",3
"aerial tram",2900,125,"lone star",3
"little cloud",1304,4,"lone star",3
"mineral basin",1429,4,"lone star",3
"aerial tram",2900,125,"white diamonds",3
"little cloud",1304,4,"white diamonds",3
"mineral basin",1429,4,"white diamonds",3
"aerial tram",2900,125,"path to paradise",2
"little cloud",1304,4,"path to paradise",2
"mineral basin",1429,4,"path to paradise",2
"aerial tram",2900,125,"niagara",4
"little cloud",1304,4,"niagara",4
"mineral basin",1429,4,"niagara",4
"peruvian",2572,4,"niagara",4
"aerial tram",2900,125,"gheen gully",4
"little cloud",1304,4,"gheen gully",4
"mineral basin",1429,4,"gheen gully",4
"peruvian",2572,4,"gheen gully",4
