"id","name","level"
20,"bass highway",1
21,"chickadee",1
22,"lower/middle emma",1
1,"chip's run",2
25,"wilbere ridge",2
9,"election",2
16,"rothman's way",2
11,"middle bassackwards",2
10,"upper bassackwards",2
12,"upper big emma",2
30,"path to paradise",2
19,"harper's ferry",3
23,"regulator johnson",3
24,"pucker brush",3
26,"double down",3
27,"high stakes",3
29,"white diamonds",3
28,"lone star",3
4,"tiger tail",3
5,"ted's bowl",3
6,"carbonate",3
7,"gadzooks",3
8,"s.t.h.",3
13,"fluffy bunny",3
14,"silver fox",3
15,"lower primrose",3
2,"upper primrose",3
18,"gad gully",3
32,"gheen gully",4
3,"old ladies",4
17,"jones avenue",4
31,"niagara",4
