"run","ways_there","symbol"
"bass highway","7","green circle"
"wilbere ridge","6","blue square"
"harper's ferry","6","black diamond"
"fluffy bunny","5","black diamond"
"gad gully","5","black diamond"
"upper big emma","5","blue square"
"middle bassackwards","5","blue square"
"lower/middle emma","5","green circle"
"jones avenue","5","double black diamond"
"niagara","4","double black diamond"
"gheen gully","4","double black diamond"
"lone star","3","black diamond"
"path to paradise","3","blue square"
"double down","3","black diamond"
"old ladies","3","double black diamond"
"regulator johnson","3","black diamond"
"pucker brush","3","black diamond"
"white diamonds","3","black diamond"
"high stakes","2","black diamond"
"lower primrose","2","black diamond"
"chip's run","2","blue square"
"rothman's way","2","blue square"
"silver fox","2","black diamond"
"election","1","blue square"
"s.t.h.","1","black diamond"
"upper bassackwards","1","blue square"
"gadzooks","1","black diamond"
"upper primrose","1","black diamond"
"tiger tail","1","black diamond"
"chickadee","1","green circle"
"carbonate","1","black diamond"
